"OTU_ID","taxonomy","Taxon","Taxon Level","Trophic Mode","Guild","Growth Morphology","Trait","Confidence Ranking"
"ASV_10",";Mortierella;minutissima","Mortierella","13","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph","Microfungus","NULL","Probable"
"ASV_1000",";Conioscypha;bambusicola","Conioscypha","13","Saprotroph","Wood Saprotroph","Microfungus","NULL","Possible"
"ASV_1001",";Septoglomus;constrictum","Septoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1002",";Ramicandelaber;NA","Ramicandelaber","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1007",";Exophiala;alcalophila","Exophiala","13","Pathotroph-Saprotroph","Animal Pathogen-Undefined Saprotroph","Facultative Yeast","NULL","Probable"
"ASV_1008",";Conocybe;mesospora","Conocybe","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1010",";Coprinopsis;friesii","Coprinopsis","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1014",";Myrmecridium;NA","Myrmecridium","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1015",";Disciseda;NA","Disciseda","13","Saprotroph","Soil Saprotroph","Gasteroid","NULL","Probable"
"ASV_1016",";Rhizophagus;irregularis","Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1018",";Funneliformis;mosseae","Funneliformis","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_102",";Articulospora;NA","Articulospora","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1021",";Rhizophagus;irregularis","Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1023",";Mortierella;NA","Mortierella","13","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph","Microfungus","NULL","Probable"
"ASV_1024",";Sagenomella;oligospora","Sagenomella","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1025",";Curvularia;NA","Curvularia","13","Pathotroph","Plant Pathogen","NULL","NULL","Probable"
"ASV_1031",";Idriella;NA","Idriella","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1035",";Subulicystidium;NA","Subulicystidium","13","Saprotroph","Undefined Saprotroph","Corticioid","White Rot","Probable"
"ASV_1036",";Mortierella;NA","Mortierella","13","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph","Microfungus","NULL","Probable"
