"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_3","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA
"ASV_6","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","oxysporum"
"ASV_7","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Setophoma","terrestris"
"ASV_8","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma",NA
"ASV_9","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma",NA
"ASV_10","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","minutissima"
"ASV_11","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","pisciphila"
"ASV_13","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Clonostachys","rosea"
"ASV_14","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA
"ASV_15","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Drechslera",NA
"ASV_17","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","acuminata"
"ASV_18","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","solani"
"ASV_19","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","exigua"
"ASV_21","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis","Fusidium",NA
"ASV_23","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA
"ASV_25","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Dactylonectria","macrodidyma"
"ASV_28","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","elongata"
"ASV_29","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella","tassiana"
"ASV_30","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","intricans"
