"CROP","PLOT","REP","YEAR","SAMPLING","TEMPERATURE","VMOISTURE","SHOOT_HEIGHT","SHOOT_MOISTURE","TEMPERATURE_VAR","VMOISTURE_VAR","SHOOT_HEIGHT_VAR","SHOOT_MOISTURE_VAR","NODULATION"
"corn","108","R1","2016","seedling",15.3833333333333,40.6666666666667,20.3333333333333,0.853948808245717,0.0136666666666667,5.46666666666667,2.32666666666667,0.000357572712460151,NA
"corn","113","R1","2016","seedling",15.2,41.1666666666667,18.2333333333333,0.850510072573763,0.0120000000000001,18.1666666666667,7.54666666666667,9.60742995672082e-05,NA
"corn","118","R1","2016","seedling",15.5,45,25.0333333333333,0.859277826847592,0.0119999999999999,2.4,10.4826666666667,0.000160300703303707,NA
"corn","124","R1","2016","seedling",16.45,41.5,24.3,0.861827936845315,0.375,21.5,5.36,4.59109964965856e-05,NA
"corn","125","R1","2016","seedling",17.1666666666667,39.6666666666667,19.94,0.868733760470634,0.134666666666666,19.4666666666667,21.763,0.000175390878143439,NA
"corn","205","R2","2016","seedling",15.5833333333333,41.5,22.2833333333333,0.868386676605972,0.0576666666666666,5.5,4.68966666666666,7.94044122397766e-06,NA
"corn","213","R2","2016","seedling",15.8833333333333,43.8333333333333,22.9,0.880330726545974,0.0416666666666666,10.5666666666667,7.635,0.000820858573846261,NA
"corn","221","R2","2016","seedling",15.7666666666667,43.1666666666667,19.3666666666667,0.85846495799792,0.0266666666666668,4.56666666666667,7.99466666666666,0.00105555236226097,NA
"corn","223","R2","2016","seedling",15.9666666666667,43.5,22.5666666666667,0.862090546655403,0.00666666666666662,3.1,3.52266666666667,1.68433354300515e-05,NA
"corn","230","R2","2016","seedling",15.75,47.1666666666667,21.2666666666667,0.858006827185553,0.039,12.5666666666667,7.81066666666666,4.59454128447271e-05,NA
"corn","302","R3","2016","seedling",16.3166666666667,53.8333333333333,20.6333333333333,0.869326616085645,0.0496666666666666,17.3666666666667,1.43866666666667,1.36693405965354e-05,NA
"corn","310","R3","2016","seedling",16.5,38.6666666666667,17.65,0.859991370689325,0.0279999999999999,25.8666666666667,5.843,0.000326095386259637,NA
"corn","314","R3","2016","seedling",16.2,39.1666666666667,21.8833333333333,0.865443112121025,0.0120000000000001,8.16666666666667,5.26966666666667,4.28642561680847e-05,NA
"corn","328","R3","2016","seedling",16.0333333333333,45.8333333333333,20.5,0.867875323943821,0.00666666666666662,25.3666666666667,5.404,0.000105948080698081,NA
"corn","336","R3","2016","seedling",15.5,49.8333333333333,26.34,0.870733965793584,0.084,17.3666666666667,8.59800000000001,0.000122094984539446,NA
"corn","402","R4","2016","seedling",16.9833333333333,51.5,19.7,0.865082935476781,0.0416666666666665,28.7,10.288,0.000144914254416567,NA
"corn","407","R4","2016","seedling",17.4166666666667,46.1666666666667,21.7166666666667,0.866692966476,0.265666666666666,5.76666666666667,4.56166666666667,8.82053466877879e-05,NA
"corn","426","R4","2016","seedling",17.3833333333333,49.5,22.6833333333333,0.860820826274219,0.0456666666666668,11.9,7.16166666666667,3.97414381100169e-05,NA
"corn","427","R4","2016","seedling",16.9,47,19.7166666666667,0.856854094098955,0.0240000000000001,12,6.57366666666667,0.000126518535602041,NA
"corn","430","R4","2016","seedling",17.1166666666667,50.3333333333333,21,0.854295135922238,0.0736666666666664,38.6666666666667,11.505,0.000111355322168121,NA
"corn","108","R1","2016","flowering",19.9861111125,35.3,NA,0.80437596052738,0.0110596715329218,1.22,NA,NA,NA
"corn","113","R1","2016","flowering",21.694444445,42.45,NA,0.814958350037864,0.0421810696707821,13.6366666666667,NA,NA,NA
"corn","118","R1","2016","flowering",19.5138888875,40.375,NA,0.793932376100046,0.035751029804527,2.16916666666666,NA,NA,NA
"corn","124","R1","2016","flowering",20.291666665,37.65,NA,0.801297648012976,0.00282921800411519,2.13666666666667,NA,NA,NA
"corn","125","R1","2016","flowering",22.36111111,34.575,NA,0.813127071823204,0.108024690123456,5.50916666666667,NA,NA,NA
"corn","205","R2","2016","flowering",21.541666665,33.225,NA,0.801313752878553,0.0954218113374488,0.209166666666667,NA,NA,NA
"corn","213","R2","2016","flowering",21.2777777775,35.425,NA,0.805668530757499,0.0761316872016461,0.782500000000001,NA,NA,NA
"corn","221","R2","2016","flowering",21.76388889,35.125,NA,0.811149950703594,0.000771605061728454,12.0691666666667,NA,NA,NA
"corn","223","R2","2016","flowering",20.4166666675,21.8,NA,0.791093711769024,0.0421810705967078,8.38666666666667,NA,NA,NA
"corn","230","R2","2016","flowering",21.8472222225,34.575,NA,0.814775539059738,0.00694444398148152,6.92916666666667,NA,NA,NA
"corn","302","R3","2016","flowering",21.4305555575,40.925,NA,0.809552943232968,0.0275205763683129,4.07583333333334,NA,NA,NA
"corn","310","R3","2016","flowering",22.5,28.7,NA,0.823453554640376,0.0102880660082303,7.84666666666667,NA,NA,NA
"corn","314","R3","2016","flowering",21.8055555575,31.05,NA,0.804156780033395,0.200617284012345,4.91,NA,NA,NA
"corn","328","R3","2016","flowering",20.47222222,31.375,NA,0.786137331112345,0.0257201650205763,46.8891666666667,NA,NA,NA
"corn","336","R3","2016","flowering",20.1388888875,38.1,NA,0.801206688501982,0.136831278168725,7.55333333333333,NA,NA,NA
"corn","402","R4","2016","flowering",21.694444445,39.725,NA,0.794421611268505,0.73353908979424,6.82916666666667,NA,NA,NA
"corn","407","R4","2016","flowering",21.9722222225,34.5,NA,0.813823992252754,0.0216049389506176,1.82666666666667,NA,NA,NA
"corn","426","R4","2016","flowering",22.51388889,36.65,NA,0.793848640830391,1.18801440522634,7.43,NA,NA,NA
"corn","427","R4","2016","flowering",22.0694444425,38.925,NA,0.809884591665933,0.0336934157510283,6.79583333333333,NA,NA,NA
"corn","430","R4","2016","flowering",21.4027777775,40.925,NA,0.800141911069063,0.317644032355966,4.94916666666666,NA,NA,NA
"soy","104","R1","2016","seedling",24.2222222233333,28.8666666666667,9.46,0.802301012729372,0.0345679007654322,3.75466666666667,1.708,5.07093620395575e-05,0.5
"soy","122","R1","2016","seedling",23.435185185,30.6,8.08333333333333,0.787201653672813,0.0770576120534975,6.796,1.44166666666667,0.000328342493320338,0.833333333333333
"soy","123","R1","2016","seedling",24.5648148183333,28.2,10.2333333333333,0.797255555503857,0.0375514401522634,5,2.32666666666667,7.76556882603096e-05,1
"soy","130","R1","2016","seedling",24.0370370383333,31.0666666666667,10.6666666666667,0.787325473953802,0.0724279837201647,2.26666666666666,0.0666666666666667,4.19808912129243e-05,1
"soy","133","R1","2016","seedling",23.74074074,33.9833333333333,10.1,0.77519286662216,0.231687241423868,13.7096666666667,0.444,0.000578421729277371,1
"soy","207","R2","2016","seedling",24.45,22.8333333333333,9.52,0.80000010613216,0.223,4.73866666666666,0.821999999999999,0.000151439306482188,1
"soy","220","R2","2016","seedling",24.2166666666667,24.2666666666667,9,0.794038190933947,0.149666666666666,2.14666666666667,1.144,0.000307876060069131,1
"soy","227","R2","2016","seedling",24.7,28.4333333333333,8.6,0.791544331798132,0.0239999999999998,5.36266666666666,0.916,0.000120388005187112,1
"soy","231","R2","2016","seedling",23.7666666666667,30,9.71666666666667,0.796054243382235,0.118666666666667,3.812,2.21366666666667,0.000427497058952484,1
"soy","235","R2","2016","seedling",24.9666666666667,26.5666666666667,10.25,0.791952359451407,0.122666666666666,6.38666666666666,1.395,9.62247246794915e-05,1
"soy","301","R3","2016","seedling",23.814814815,35.2333333333333,10.9333333333333,0.793033539734088,0.0872427996460904,11.6986666666667,1.24666666666667,0.000320305534951346,1
"soy","321","R3","2016","seedling",23.833333335,26.8666666666667,10.15,0.784203047979142,0.137037038296296,12.8666666666667,0.135,0.000194651316515027,1
"soy","330","R3","2016","seedling",24.564814815,27.4166666666667,9.25,0.793796248229901,0.158539094572017,7.34966666666667,0.743,0.000170520987178106,1
"soy","332","R3","2016","seedling",24.6851851866667,31.45,9.5,0.779437092395918,0.339094650609053,14.651,1.112,0.000325947315561812,1
"soy","333","R3","2016","seedling",25.435185185,30.2333333333333,9.6,0.776280081608651,0.125205760572016,10.7786666666667,2.536,0.000192781741785316,1
"soy","409","R4","2016","seedling",25.1333333333333,21.9333333333333,8.6,0.800841972652303,0.0946666666666668,0.678666666666667,1.244,0.000118023701508687,1
"soy","419","R4","2016","seedling",24.65,28.2,7.88333333333333,0.808573363510357,0.0430000000000001,7.724,4.79766666666667,0.000950414121874057,1
"soy","421","R4","2016","seedling",25.2,26.1333333333333,9.33333333333333,0.787379952197374,0.0679999999999998,7.62666666666667,1.21066666666667,4.66687075756177e-05,1
"soy","422","R4","2016","seedling",25.2,28.3,8.88333333333333,0.783209903896454,0.0639999999999995,7.948,0.213666666666666,0.000299788827656907,1
"soy","434","R4","2016","seedling",25.2833333333333,30.5666666666667,8.43333333333333,0.771485657087892,0.229666666666667,11.6706666666667,1.17866666666667,3.17345153128216e-05,1
"soy","104","R1","2016","flowering",24.1250000025,NA,NA,0.766573724684821,0.0110596706069961,NA,NA,0.000195319974113894,1
"soy","122","R1","2016","flowering",23.930555555,NA,NA,0.757740062429109,0.126286006399177,NA,NA,0.00170277181657584,1
"soy","123","R1","2016","flowering",24.3208333325,NA,NA,0.768866290299831,0.319966562815843,NA,NA,0.000290606894651375,1
"soy","130","R1","2016","flowering",23.875,NA,NA,0.748175488552785,0.105709876790123,NA,NA,0.000105346509914013,1
"soy","133","R1","2016","flowering",23.9166666675,NA,NA,0.750506795747159,0.159465017386832,NA,NA,1.19359702089208e-05,1
"soy","207","R2","2016","flowering",23.48611111,16.325,NA,0.780509942361195,0.0624999992592589,6.26916666666667,NA,0.000500891068205062,1
