SampleID,Year,Plot,Crop,Sampling,Treatment,Rot,Rotation,Rep,Previous crop,Years,Type,Stand_plot_1,Stage_1,dw_plot,av_dw,Stage_V7,Stage_R3,P,K,S,Ca,Mg,Zn,Mn,B,Cu,Fe,N,C,C_N,0_10_TN,0_10_TC,0_10_NO3N,0_10_BrayP,10_30_TN,10_30_TC,10_30_NO3N,10_30_BrayP,0_10_K,10_30_K,CropYield
BC1.125_S160_L001,2016,125,corn,seedling,R10,C,CPWS,R1,Soy,Four,A,16,5,1.2,0.2,NA,NA,0.73,1.11,0.33,1.41,1.1,81.21,101.72,5.67,31.34,258.62,5.4711,45.379,8.294310102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC1.221_S162_L001,2016,221,corn,seedling,R10,C,CPWS,R2,Soy,Four,A,15,6,1.36,0.226666667,NA,NA,0.82,1.17,0.36,1.53,1.15,65.11,118.33,6.16,29.95,320.28,5.6927,44.96,7.897834068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC1.302_S165_L001,2016,302,corn,seedling,R10,C,CPWS,R3,Soy,Four,A,12,6,1.51,0.251666667,NA,NA,0.8,1.05,0.39,1.54,1.35,66.49,124.93,8.21,37.17,431.42,5.4493,44.15,8.10195805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC1.407_S159_L001,2016,407,corn,seedling,R10,C,CPWS,R4,Soy,Four,A,13,6,1.7,0.283333333,NA,NA,0.78,1.26,0.34,1.32,1.03,60.31,100.18,4.92,30.2,232.75,5.313,45.374,8.540184453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BC2.125_S147_L001,2016,125,corn,flowering,R10,C,CPWS,R1,Soy,Four,A,NA,NA,422.8,105.7,NA,NA,0.17,0.72,0.08,0.53,0.43,27.03,53.19,6.32,5.36,68.14,1.5731,45.567,28.96637213,0.16714,2.0337,3.37,NA,0.10937,1.4286,2.625,NA,NA,NA,4879.99237
BC2.221_S153_L001,2016,221,corn,flowering,R10,C,CPWS,R2,Soy,Four,A,NA,NA,421.4,105.35,NA,NA,0.18,0.72,0.1,0.53,0.44,20.89,54.52,6.85,6.71,101.21,1.7005,45.693,26.87033226,0.14846,1.7637,2.865,NA,0.11761,1.194,0.4741,NA,NA,NA,4939.915732
BC2.302_S146_L001,2016,302,corn,flowering,R10,C,CPWS,R3,Soy,Four,A,NA,NA,435.8,108.95,NA,NA,0.18,0.74,0.1,0.5,0.43,29.46,68.29,6.73,10.1,109.63,1.6606,45.444,27.36601228,0.18653,2.3277,2.536,NA,0.14524,1.6341,0.3665,NA,NA,NA,5641.497842
BC2.407_S143_L001,2016,407,corn,flowering,R10,C,CPWS,R4,Soy,Four,A,NA,NA,461.4,115.35,NA,NA,0.18,0.76,0.09,0.51,0.4,22.82,62.87,8.09,10.08,111.66,1.6767,45.679,27.24339476,0.13138,1.4901,2.485,NA,0.09592,1.0877,0.8213,NA,NA,NA,5382.387371
BS1.123_S108_L001,2016,123,soy,seedling,R9,C,CPWS,R1,winter wheat,Four,A,49,6,3.95,0.658333333,NA,NA,0.44,1.43,0.25,1.92,1,47.2,80.34,54.74,12.49,232.28,4.1632,45.143,10.84334166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS1.235_S111_L001,2016,235,soy,seedling,R9,C,CPWS,R2,winter wheat,Four,A,58,6,3.82,0.636666667,NA,NA,0.46,1.54,0.27,1.87,0.99,49.37,73.83,52.97,14.27,173,4.289,45.448,10.59640942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
