SampleID	Year	Plot	CurrentCrop	Sampling	Treatment	Rot	Rotation	Rep	Previous crop	Years	Type	Stand_plot_1	Stage_V2	dw_plot	av_dw	Stage_3	Stage_4	P	K	S	Ca	Mg	Zn	Mn	B	Cu	Fe	N	C	C_N	0_10_TN	0_10_TC	0_10_NO3N	0_10_BrayP	10_30_TN	10_30_TC	10_30_NO3N	10_30_BrayP	0_10_K	10_30_K	CropYield
corn_t2_104_V4_S7	2017	104	corn	flowering	R29	H	COWS	R1	Soy	Four	A	NA	NA	1717.1	78.75	4	1	0.21	0.48	0.1	0.42	0.39	22.93	48.49	5.67	5.74	69.82	1.7137	45.749	26.69603781	0.16791	1.836	5.2	9	0.11795	1.1667	2.9	2	86	97	8772.603725
corn_t2_123_V4_S8	2017	123	corn	flowering	R9	C	CPWS	R1	Soy	Four	A	NA	NA	1891.5	89.5	4	3	0.19	0.56	0.12	0.43	0.37	26.28	50.4	4.18	6.1	70.04	1.8277	45.485	24.88646933	0.1783	1.947	5.5	6	0.14556	1.5047	3	2	103	98	9816.772729
corn_t2_131_V4_S9	2017	131	corn	flowering	R25	G	CSSwP	R1	Pea	Four	B	NA	NA	2292.1	108.25	4	4	0.17	0.63	0.11	0.53	0.44	18.89	47.13	4.84	5.52	77.51	1.5861	45.37	28.6047538	0.21206	2.3861	6.1	15	0.17832	1.9999	2.7	4	142	122	11441.30485
corn_t2_133_V4_S19	2017	133	corn	flowering	R33	I	CSCS	R1	Soy	Two	C	NA	NA	1721	74.75	4	0	0.19	0.55	0.11	0.47	0.48	29.03	45.23	5.02	5.7	60.56	1.8196	45.164	24.82083974	0.19597	2.2153	5	5	0.14153	1.4759	4.5	3	91	110	8707.441491
corn_t2_136_V4_S20	2017	136	corn	flowering	R17	E	CSSwSf	R1	Sunflower	Four	B	NA	NA	1565.5	67.75	4	0	0.2	0.68	0.12	0.44	0.4	34.42	45.98	4.75	6.4	68.57	1.8977	45.379	23.91263108	0.17819	1.9197	3.2	4	0.13195	1.3246	1.9	2	114	110	9614.355075
corn_t2_207_V4_S21	2017	207	corn	flowering	R29	H	COWS	R2	Soy	Four	A	NA	NA	1812.8	85.25	4	2	0.18	0.44	0.11	0.43	0.34	20.46	56.06	5.18	5.68	124.17	1.777	45.411	25.55486775	0.15389	1.6404	5.8	6	0.13481	1.4074	3.2	3	93	91	10094.37601
corn_t2_209_V4_S37	2017	209	corn	flowering	R17	E	CSSwSf	R2	Sunflower	Four	B	NA	NA	1145.1	45.75	0	0	0.21	0.58	0.13	0.44	0.48	54.32	46.97	5.39	7.93	93.86	2.1573	45.162	20.93450146	0.16713	1.8249	4.4	5	0.13558	1.4171	2	3	100	100	8431.213127
corn_t2_217_V4_S32	2017	217	corn	flowering	R25	G	CSSwP	R2	Pea	Four	B	NA	NA	2268.3	112.25	4	4	0.14	0.6	0.09	0.3	0.22	16.82	42.65	3.5	4.1	55.16	1.2703	45.494	35.81358734	0.17189	1.9477	3.8	4	0.14531	1.5516	2.9	2	101	114	11336.20004
corn_t2_220_V4_S33	2017	220	corn	flowering	R33	I	CSCS	R2	Soy	Two	C	NA	NA	1465.4	64.25	4	0	0.18	0.43	0.11	0.38	0.38	28.23	40.7	4.52	6.28	58.86	1.7598	45.134	25.64723264	0.14875	1.6679	2.3	7	0.09655	1.0073	1.3	3	104	106	6546.505407
corn_t2_235_V4_S43	2017	235	corn	flowering	R9	C	CPWS	R2	Soy	Four	A	NA	NA	1516.1	71.75	4	1	0.2	0.63	0.12	0.49	0.47	27.06	47.39	5.69	6.19	70.95	1.7958	45.393	25.27731373	0.17784	2.0473	2.5	7	0.14536	1.5307	2.5	3	101	93	8904.672763
