OTU_ID	taxonomy
ASV_3	;NA;NA
ASV_6	;Fusarium;oxysporum
ASV_7	;Setophoma;terrestris
ASV_8	;Trichoderma;NA
ASV_9	;Trichoderma;NA
ASV_10	;Mortierella;minutissima
ASV_11	;Exophiala;pisciphila
ASV_13	;Clonostachys;rosea
ASV_14	;Alternaria;NA
ASV_15	;Drechslera;NA
ASV_17	;Gibberella;acuminata
ASV_18	;Fusarium;solani
ASV_19	;Mortierella;exigua
ASV_21	;Fusidium;NA
ASV_23	;NA;NA
ASV_25	;Dactylonectria;macrodidyma
ASV_28	;Mortierella;elongata
ASV_29	;Mycosphaerella;tassiana
ASV_30	;Gibberella;intricans
ASV_32	;Cladosporium;NA
ASV_34	;Humicola;grisea
ASV_35	;Fusicolla;aquaeductuum
ASV_36	;NA;NA
ASV_38	;Setophoma;terrestris
ASV_41	;Mortierella;NA
ASV_42	;Olpidium;brassicae
ASV_43	;NA;NA
ASV_44	;Periconia;NA
ASV_45	;NA;NA
ASV_46	;NA;NA
ASV_47	;Setophoma;terrestris
ASV_48	;Fusicolla;aquaeductuum
ASV_52	;Corynespora;cassiicola
ASV_54	;Microdochium;NA
ASV_56	;Spirosphaera;cupreorufescens
ASV_57	;Fusarium;NA
ASV_58	;Penicillium;decumbens
ASV_59	;Fusarium;solani
ASV_60	;Fusarium;NA
ASV_61	;NA;NA
ASV_62	;Olpidium;brassicae
ASV_63	;Fusarium;oxysporum
ASV_64	;Ustilago;maydis
ASV_65	;NA;NA
ASV_66	;Spirosphaera;cupreorufescens
ASV_67	;NA;NA
ASV_68	;NA;NA
ASV_69	;NA;NA
ASV_71	;Paraphaeosphaeria;NA
ASV_72	;Fusarium;solani
ASV_74	;Clohesyomyces;aquaticus
ASV_76	;Pseudocoleophoma;polygonicola
ASV_78	;Septoglomus;viscosum
ASV_79	;Entoloma;silvanum
ASV_81	;Myrmecridium;schulzeri
ASV_82	;NA;NA
ASV_83	;Talaromyces;sayulitensis
ASV_84	;Mucor;hiemalis
ASV_85	;NA;NA
ASV_86	;Talaromyces;sayulitensis
ASV_87	;Didymella;NA
ASV_88	;NA;NA
ASV_89	;Rhizophlyctis;rosea
ASV_90	;Paramyrothecium;viridisporum
ASV_92	;NA;NA
ASV_93	;Neoascochyta;europaea
ASV_94	;Exophiala;equina
ASV_95	;NA;NA
ASV_96	;Mortierella;alpina
ASV_97	;Entoloma;silvanum
ASV_98	;NA;NA
ASV_99	;Pseudocoleophoma;polygonicola
ASV_102	;Articulospora;NA
ASV_104	;NA;NA
ASV_105	;Glomus;indicum
ASV_106	;Microdochium;NA
ASV_111	;Septoglomus;viscosum
ASV_112	;NA;NA
ASV_113	;Lasionectria;oenanthicola
ASV_114	;Arthrobotrys;NA
ASV_115	;NA;NA
ASV_116	;NA;NA
ASV_117	;Plectosphaerella;cucumerina
ASV_118	;Fusicolla;violacea
ASV_121	;Rhizophagus;irregularis
ASV_122	;Apseudocercosporella;trigonotidis
ASV_124	;NA;NA
ASV_125	;Setophoma;terrestris
ASV_126	;Staphylotrichum;NA
ASV_127	;Mortierella;alpina
ASV_129	;Lachnum;NA
ASV_130	;Olpidium;brassicae
ASV_131	;Auricularia;NA
ASV_132	;NA;NA
ASV_133	;Marasmius;apatelius
ASV_134	;NA;NA
ASV_139	;NA;NA
ASV_140	;NA;NA
ASV_141	;Pseudogymnoascus;pannorum
ASV_142	;NA;NA
ASV_144	;NA;NA
ASV_146	;Tubeufia;helicomyces
ASV_147	;NA;NA
ASV_148	;Clonostachys;rosea
ASV_149	;NA;NA
ASV_150	;Simplicillium;aogashimaense
ASV_151	;NA;NA
ASV_152	;Junewangia;NA
ASV_153	;NA;NA
