"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"ASV3" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"ASV6" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusarium" "s__oxysporum"
"ASV7" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Setophoma" "s__terrestris"
"ASV8" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Hypocreaceae" "g__Trichoderma" NA
"ASV9" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Hypocreaceae" "g__Trichoderma" NA
"ASV10" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__minutissima"
"ASV11" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Herpotrichiellaceae" "g__Exophiala" "s__pisciphila"
"ASV13" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Bionectriaceae" "g__Clonostachys" "s__rosea"
"ASV14" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Pleosporaceae" "g__Alternaria" NA
"ASV15" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Pleosporaceae" "g__Drechslera" NA
"ASV17" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Gibberella" "s__acuminata"
"ASV18" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusarium" "s__solani"
"ASV19" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__exigua"
"ASV21" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Xylariales" "f__Xylariales_fam_Incertae_sedis" "g__Fusidium" NA
"ASV23" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" NA NA
"ASV25" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Dactylonectria" "s__macrodidyma"
"ASV28" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__elongata"
"ASV29" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Capnodiales" "f__Mycosphaerellaceae" "g__Mycosphaerella" "s__tassiana"
"ASV30" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Gibberella" "s__intricans"
"ASV32" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Capnodiales" "f__Cladosporiaceae" "g__Cladosporium" NA
"ASV34" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Chaetomiaceae" "g__Humicola" "s__grisea"
"ASV35" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusicolla" "s__aquaeductuum"
"ASV36" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Melanommataceae" NA NA
"ASV38" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Setophoma" "s__terrestris"
"ASV41" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" NA
"ASV42" "k__Fungi" "p__Olpidiomycota" "c__Olpidiomycetes" "o__Olpidiales" "f__Olpidiaceae" "g__Olpidium" "s__brassicae"
"ASV43" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" NA NA NA
"ASV44" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Periconiaceae" "g__Periconia" NA
"ASV45" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Chaetomiaceae" NA NA
"ASV46" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Branch06" NA NA NA
"ASV47" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Setophoma" "s__terrestris"
"ASV48" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusicolla" "s__aquaeductuum"
"ASV52" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Corynesporascaceae" "g__Corynespora" "s__cassiicola"
"ASV54" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Xylariales" "f__Microdochiaceae" "g__Microdochium" NA
"ASV56" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiales_fam_Incertae_sedis" "g__Spirosphaera" "s__cupreorufescens"
"ASV57" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusarium" NA
"ASV58" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Eurotiales" "f__Aspergillaceae" "g__Penicillium" "s__decumbens"
"ASV59" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusarium" "s__solani"
"ASV60" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusarium" NA
"ASV61" "k__Fungi" "p__Basidiomycota" "c__Classiculomycetes" "o__Classiculales" "f__Classiculaceae" NA NA
"ASV62" "k__Fungi" "p__Olpidiomycota" "c__Olpidiomycetes" "o__Olpidiales" "f__Olpidiaceae" "g__Olpidium" "s__brassicae"
"ASV63" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusarium" "s__oxysporum"
"ASV64" "k__Fungi" "p__Basidiomycota" "c__Ustilaginomycetes" "o__Ustilaginales" "f__Ustilaginaceae" "g__Ustilago" "s__maydis"
"ASV65" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Branch06" NA NA NA
"ASV66" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiales_fam_Incertae_sedis" "g__Spirosphaera" "s__cupreorufescens"
"ASV67" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" NA NA NA
"ASV68" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiaceae" NA NA
"ASV69" "k__Fungi" "p__Chytridiomycota" "c__Chytridiomycetes" "o__Chytridiales" "f__Chytridiaceae" NA NA
"ASV71" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymosphaeriaceae" "g__Paraphaeosphaeria" NA
"ASV72" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusarium" "s__solani"
"ASV74" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Lindgomycetaceae" "g__Clohesyomyces" "s__aquaticus"
"ASV76" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Dictyosporiaceae" "g__Pseudocoleophoma" "s__polygonicola"
"ASV78" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Septoglomus" "s__viscosum"
"ASV79" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Entolomataceae" "g__Entoloma" "s__silvanum"
"ASV81" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Myrmecridiales" "f__Myrmecridiaceae" "g__Myrmecridium" "s__schulzeri"
"ASV82" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" NA NA NA
"ASV83" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Eurotiales" "f__Trichocomaceae" "g__Talaromyces" "s__sayulitensis"
"ASV84" "k__Fungi" "p__Mucoromycota" "c__Mucoromycetes" "o__Mucorales" "f__Mucoraceae" "g__Mucor" "s__hiemalis"
"ASV85" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" NA NA NA
"ASV86" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Eurotiales" "f__Trichocomaceae" "g__Talaromyces" "s__sayulitensis"
"ASV87" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" "g__Didymella" NA
"ASV88" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Branch06" NA NA NA
"ASV89" "k__Fungi" "p__Chytridiomycota" "c__Rhizophlyctidomycetes" "o__Rhizophlyctidales" "f__Rhizophlyctidaceae" "g__Rhizophlyctis" "s__rosea"
"ASV90" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Stachybotryaceae" "g__Paramyrothecium" "s__viridisporum"
"ASV92" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Ceratobasidiaceae" NA NA
"ASV93" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" "g__Neoascochyta" "s__europaea"
"ASV94" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Herpotrichiellaceae" "g__Exophiala" "s__equina"
"ASV95" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" NA NA NA
"ASV96" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__alpina"
"ASV97" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Entolomataceae" "g__Entoloma" "s__silvanum"
"ASV98" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymosphaeriaceae" NA NA
"ASV99" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Dictyosporiaceae" "g__Pseudocoleophoma" "s__polygonicola"
"ASV102" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiaceae" "g__Articulospora" NA
"ASV104" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" NA NA NA NA
"ASV105" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__indicum"
"ASV106" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Xylariales" "f__Microdochiaceae" "g__Microdochium" NA
"ASV111" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Septoglomus" "s__viscosum"
"ASV112" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Tubeufiales" "f__Tubeufiaceae" NA NA
"ASV113" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Lasionectria" "s__oenanthicola"
"ASV114" "k__Fungi" "p__Ascomycota" "c__Orbiliomycetes" "o__Orbiliales" "f__Orbiliaceae" "g__Arthrobotrys" NA
"ASV115" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Stephanosporaceae" NA NA
"ASV116" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Lentitheciaceae" NA NA
"ASV117" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Glomerellales" "f__Plectosphaerellaceae" "g__Plectosphaerella" "s__cucumerina"
"ASV118" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusicolla" "s__violacea"
