SampleID,Crop,Plot_number,Treatment,Rep,Sampling_date,Plant_number,Temp,Soil_Moisture_RWC75,Researcher,Notes,Stage_V,Shoot_Height,Shoot_Fw,Shoot_Dw,shoot_p_moisture,Researcher,Notes
Ct1_1,Corn,108,30,1,6/1/2016,1,15.2,41,SN/M,,3,21.5,1.47,0.27,0.183673469,M(SB),
Ct1_2,Corn,108,30,1,6/1/2016,2,15.3,37,SN/M,,3,21.6,1.49,0.2,0.134228188,M(SB),"yellow, brown spots at end of lowest leaves"
Ct1_3,Corn,108,30,1,6/1/2016,3,15.5,40,SN/M,,2,17.8,1,0.14,0.14,M(SB),
Ct1_4,Corn,108,30,1,6/1/2016,4,15.4,42,SN/M,,3,21.5,2.4,0.34,0.141666667,M(SB),
Ct1_5,Corn,108,30,1,6/1/2016,5,15.4,40,SN/M,,3,19.4,1.73,0.23,0.132947977,M(SB),Browning bottom leaf
Ct1_6,Corn,108,30,1,6/1/2016,6,15.5,44,SN/M,,3,20.2,1.53,0.22,0.14379085,M(SB),
Ct1_7,Corn,113,34,1,6/1/2016,1,15.1,38,SN/M,,2,17,1.13,0.16,0.14159292,M(SB),
Ct1_8,Corn,113,34,1,6/1/2016,2,15.1,37,SN/M,,3,22.7,2,0.33,0.165,M(SB),
Ct1_9,Corn,113,34,1,6/1/2016,3,15.2,49,SN/M,,3,20.5,2.04,0.29,0.142156863,M(SB),
Ct1_10,Corn,113,34,1,6/1/2016,4,15.4,41,SN/M,,3,16.6,0.93,0.14,0.150537634,M(SB),
Ct1_11,Corn,113,34,1,6/1/2016,5,15.2,42,SN/M,,3,15.6,0.78,0.11,0.141025641,M(SB),"yellow stem, browning leaves"
Ct1_12,Corn,113,34,1,6/1/2016,6,15.2,40,SN/M,,3,17,0.83,0.13,0.156626506,M(SB),
Ct1_13,Corn,118,26,1,6/1/2016,1,15.3,44,SN/M,,3,30.3,3.68,0.6,0.163043478,M(SB),
Ct1_14,Corn,118,26,1,6/1/2016,2,15.5,45,SN/M,,3,22,2.68,0.36,0.134328358,M(SB),
Ct1_15,Corn,118,26,1,6/1/2016,3,15.6,48,SN/M,,3,22.2,2.52,0.35,0.138888889,M(SB),
Ct1_16,Corn,118,26,1,6/1/2016,4,15.5,44,SN/M,,3,25.5,2.87,0.36,0.12543554,M(SB),
Ct1_17,Corn,118,26,1,6/1/2016,5,15.6,45,SN/M,,3,27,2.83,0.39,0.137809187,M(SB),
Ct1_18,Corn,118,26,1,6/1/2016,6,15.5,44,SN/M,,3,23.2,2.9,0.42,0.144827586,M(SB),
Ct1_19,Corn,124,18,1,6/1/2016,1,17,40,SN/M,temp @ sampling: 15.6,3,26.8,3.13,0.43,0.137380192,M(SB),
Ct1_20,Corn,124,18,1,6/1/2016,2,16,36,SN/M,temp @ sampling: 15.6,3,24,2.37,0.34,0.143459916,M(SB),
Ct1_21,Corn,124,18,1,6/1/2016,3,16,50,SN/M,temp @ sampling: 15.1,3,21.5,1.73,0.24,0.138728324,M(SB),
Ct1_22,Corn,124,18,1,6/1/2016,4,15.7,40,SN/M,,3,24.5,2.71,0.36,0.132841328,M(SB),
Ct1_23,Corn,124,18,1,6/1/2016,5,17,41,SN/M,,3,27,3.32,0.49,0.147590361,M(SB),
Ct1_24,Corn,124,18,1,6/1/2016,6,17,42,SN/M,,2,22,1.24,0.16,0.129032258,M(SB),
Ct1_25,Corn,125,10,1,6/1/2016,1,17.4,42,SN/M,,3,NA,1.21,0.17,0.140495868,M(SB),
Ct1_26,Corn,125,10,1,6/1/2016,2,17.6,32,SN/M,,3,17.5,1.04,0.13,0.125,M(SB),
Ct1_27,Corn,125,10,1,6/1/2016,3,17.4,45,SN/M,,2,13.7,0.52,0.06,0.115384615,M(SB),
Ct1_28,Corn,125,10,1,6/1/2016,4,16.6,40,SN/M,,3,26.2,2.61,0.39,0.149425287,M(SB),
Ct1_29,Corn,125,10,1,6/1/2016,5,17,41,SN/M,,3,21,1.92,0.23,0.119791667,M(SB),
Ct1_30,Corn,125,10,1,6/1/2016,6,17,38,SN/M,,3,21.3,1.6,0.22,0.1375,M(SB),
Ct1_31,Corn,205,18,2,6/1/2016,1,15.7,38,SB/K,,3,20.6,1.57,0.21,0.133757962,K (SB),
Ct1_32,Corn,205,18,2,6/1/2016,2,15.4,45,SB/K,,3,23.4,2.31,0.3,0.12987013,K (SB),
Ct1_33,Corn,205,18,2,6/1/2016,3,16,42,SB/K,,3,26,3.22,0.41,0.127329193,K (SB),
Ct1_34,Corn,205,18,2,6/1/2016,4,15.4,42,SB/K,,3,22.2,3.03,0.41,0.135313531,K (SB),
Ct1_35,Corn,205,18,2,6/1/2016,5,15.6,40,SB/K,,3,21.4,2.81,0.37,0.131672598,K (SB),
Ct1_36,Corn,205,18,2,6/1/2016,6,15.4,42,SB/K,,3,20.1,1.67,0.22,0.131736527,K (SB),
