SampleID,Crop,Plot number,Treatment,Rep,Sampling_date,Plant number,Temp.,Researcher,Stage_V,Shoot_Height,Shoot_Fw,Shoot_Dw,shoot_p_moisture,Researcher,STD_VWC,Nodulation
St1_1,Soybean,104,29,1,6/13/2016,1,24.27777778,SB,1,7.5,1.47,0.3,0.204081633,SB,29.7,N
St1_2,Soybean,104,29,1,6/13/2016,2,24.27777778,SB,2,10,2.84,0.57,0.200704225,SB,31.5,Y 
St1_3,Soybean,104,29,1,6/13/2016,3,24.16666667,SB,2,11,4.2,0.85,0.202380952,SB,29,N
St1_4,Soybean,104,29,1,6/13/2016,4,24.27777778,SB,2,9.8,3.42,0.69,0.201754386,SB,26.1,Y 
St1_5,Soybean,104,29,1,6/13/2016,5,24.44444444,SB,2,NA,2.64,0.5,0.189393939,SB,27.2,Y 
St1_6,Soybean,104,29,1,6/13/2016,6,23.88888889,SB,1,9,1.65,0.31,0.187878788,SB,29.7,N
St1_7,Soybean,122,19,1,6/13/2016,1,23.27777778,SB,1,7.5,1.71,0.32,0.187134503,SB,27.9,Y
St1_8,Soybean,122,19,1,6/13/2016,2,23.83333333,SB,1,6.5,0.83,0.19,0.228915663,SB,33.3,Y
St1_9,Soybean,122,19,1,6/13/2016,3,23.72222222,SB,1,7.5,1.63,0.38,0.233128834,SB,31.5,N
St1_10,Soybean,122,19,1,6/13/2016,4,23.22222222,SB,1,8,1.71,0.37,0.216374269,SB,33.7,Y
St1_11,Soybean,122,19,1,6/13/2016,5,23.16666667,SB,2,9.5,1.81,0.39,0.215469613,SB,29.3,Y
St1_12,Soybean,122,19,1,6/13/2016,6,23.38888889,SB,2,9.5,1.89,0.37,0.195767196,SB,27.9,Y
St1_13,Soybean,123,9,1,6/13/2016,1,24.55555556,SB/SN,2,11.5,3.49,0.73,0.209169054,SB,27.5,Y
St1_14,Soybean,123,9,1,6/13/2016,2,24.55555556,SB/SN,2,10.5,3.42,0.69,0.201754386,SB,29,Y
St1_15,Soybean,123,9,1,6/13/2016,3,24.88888889,SB/SN,2,11.4,4.1,0.78,0.190243902,SB,31.5,Y
St1_16,Soybean,123,9,1,6/13/2016,4,24.55555556,SB/SN,2,9.5,3.34,0.65,0.194610778,SB,28.3,Y
St1_17,Soybean,123,9,1,6/13/2016,5,24.27777778,SB/SN,2,7.5,2.59,0.55,0.212355212,SB,24.6,Y
St1_18,Soybean,123,9,1,6/13/2016,6,24.55555556,SB/SN,2,11,2.64,0.55,0.208333333,SB,28.3,Y
St1_19,Soybean,130,27,1,6/13/2016,1,23.72222222,SB/SN,2,11,2.24,0.49,0.21875,SB,31.5,Y
St1_20,Soybean,130,27,1,6/13/2016,2,24.22222222,SB/SN,2,10.5,2.61,0.55,0.210727969,SB,30.8,Y
St1_21,Soybean,130,27,1,6/13/2016,3,24.16666667,SB/SN,2,11,2.05,0.45,0.219512195,SB,31.1,Y
St1_22,Soybean,130,27,1,6/13/2016,4,23.66666667,SB/SN,2,10.5,2.53,0.53,0.209486166,SB,33.3,Y
St1_23,Soybean,130,27,1,6/13/2016,5,24.27777778,SB/SN,2,10.5,2.37,0.51,0.215189873,SB,28.6,Y
St1_24,Soybean,130,27,1,6/13/2016,6,24.16666667,SB/SN,2,10.5,2.52,0.51,0.202380952,SB,31.1,Y
St1_25,Soybean,133,33,1,6/13/2016,1,24.33333333,SB/SN,2,11,2.46,0.67,0.272357724,SB,35.1,Y
