"Rotation Experiment, 2016",,,,,,,,,,,,,,,,,
SampleID,Crop,Plot number,Treatment,Rep,Sampling_date,Plant number,Temp.,STD_VWC,Researcher_F,Stage V,Stage R,Shoot_Fw,Shoot_Dw,shoot_p_moisture,Researcher_L,Notes,Nodulation
St2_1,Soybean,104,29,1,7/5/2016,1,24.11111111,,M/M/K,7,3,10.25,2.6,0.253658537,MM,,Y
St2_2,Soybean,104,29,1,7/5/2016,2,24.05555556,,M/M/K,7,3,19.81,4.42,0.223119637,MM,,Y
St2_3,Soybean,104,29,1,7/5/2016,3,24.05555556,,M/M/K,7,3,18.73,4.34,0.231713828,MM,,Y
St2_4,Soybean,104,29,1,7/5/2016,4,24.27777778,,M/M/K,7,3,22.29,5.02,0.2252131,MM,,Y
St2_5,Soybean,122,19,1,7/5/2016,1,23.88888889,,M/M/K,5,3,9.36,2.69,0.287393162,MM,LOW SOIL,Y
St2_6,Soybean,122,19,1,7/5/2016,2,23.66666667,,M/M/K,7,2,11.12,2.53,0.227517986,MM,2 NODES,Y
St2_7,Soybean,122,19,1,7/5/2016,3,24.44444444,,M/M/K,7,3,11.17,2.15,0.192479857,MM,,Y
St2_8,Soybean,122,19,1,7/5/2016,4,23.72222222,,M/M/K,4,1,5.58,1.46,0.261648746,MM,3 NODES,Y
St2_9,Soybean,123,9,1,7/5/2016,1,25.11111111,,M/M/K,8,3,26.16,6.33,0.241972477,MM/SB,,Y
St2_10,Soybean,123,9,1,7/5/2016,2,23.83888889,,M/M/K,8,4,25.88,5.92,0.228748068,MM/SB,,Y
St2_11,Soybean,123,9,1,7/5/2016,3,24.33333333,,M/M/K,9,3,32.64,6.79,0.208026961,MM/SB,no soil kept for later,Y
St2_12,Soybean,123,9,1,7/5/2016,4,24,,M/M/K,8,3,17.21,4.23,0.245787333,MM/SB,"poor nodulation, late R2",Y
St2_13,Soybean,130,27,1,7/5/2016,1,23.5,,M/M/K,7,3,14.51,3.69,0.254307374,MM/SB,,Y
St2_14,Soybean,130,27,1,7/5/2016,2,24.05555556,,M/M/K,7,4,15.41,4.07,0.264114212,MM/SB,,Y
St2_15,Soybean,130,27,1,7/5/2016,3,23.72222222,,M/M/K,8,3,26.06,6.5,0.249424405,MM/SB,"some aphids, almost R4",Y
St2_16,Soybean,130,27,1,7/5/2016,4,24.22222222,,M/M/K,7,3,18.25,4.37,0.239452055,MM/SB,"poor nodulation, a lot of aphids on this plant",Y
St2_17,Soybean,133,33,1,7/5/2016,1,24.44444444,,M/M/K,6,3,15.9,3.98,0.250314465,MM,low root mass,Y
St2_18,Soybean,133,33,1,7/5/2016,2,23.66666667,,M/M/K,4,2,5.4,1.32,0.244444444,MM,,Y
St2_19,Soybean,133,33,1,7/5/2016,3,24,,M/M/K,7,3,12.49,3.15,0.252201761,MM,low soil/root,Y
St2_20,Soybean,133,33,1,7/5/2016,4,23.55555556,,M/M/K,6,3,7.41,1.86,0.251012146,MM,,Y
St2_21,Soybean,207,29,2,7/5/2016,1,23.83333333,18.1,S/S/K,6,3,14.6,3.68,0.252054795,K,,Y
St2_22,Soybean,207,29,2,7/5/2016,2,23.5,13.1,S/S/K,7,2,13.54,2.91,0.214918759,K,,Y
St2_23,Soybean,207,29,2,7/5/2016,3,23.27777778,15.6,S/S/K,7,3,29.57,6.19,0.209333784,K,,Y
St2_24,Soybean,207,29,2,7/5/2016,4,23.33333333,18.5,S/S/K,8,3,24.2,4.88,0.201652893,K,,Y
St2_25,Soybean,220,33,2,7/5/2016,1,23.83333333,16,S/S/K,8,3,17.69,4.65,0.262860373,K/SB,,Y
St2_26,Soybean,220,33,2,7/5/2016,2,23.88888889,17.4,S/S/K,7,3,NA,4.68,NA,K/SB,,Y
St2_27,Soybean,220,33,2,7/5/2016,3,23.83333333,16,S/S/K,NA,NA,16.91,4.15,0.245416913,K/SB,,Y
St2_28,Soybean,220,33,2,7/5/2016,4,23.88888889,15.6,S/S/K,6,2,10.83,2.85,0.263157895,K/SB,,Y
St2_29,Soybean,227,27,2,7/5/2016,1,24.22222222,19.9,S/S/K,7,3,16.57,3.91,0.235968618,K,,Y
St2_30,Soybean,227,27,2,7/5/2016,2,24.38888889,16.3,S/S/K,6,3,7.85,2.1,0.267515924,K,,Y
St2_31,Soybean,227,27,2,7/5/2016,3,24.33333333,15.6,S/S/K,7,3,15.68,3.75,0.239158163,K,,Y
St2_32,Soybean,227,27,2,7/5/2016,4,24.38888889,19.2,S/S/K,7,3,17.15,4.75,0.27696793,K,,Y
St2_33,Soybean,231,19,2,7/5/2016,1,24.94444444,16.7,S/S/K,8,3,20.15,5.07,0.251612903,K/SB,,Y
St2_34,Soybean,231,19,2,7/5/2016,2,25.27777778,19.2,S/S/K,9,3,25.51,5.93,0.23245786,K/SB,late R2,Y
St2_35,Soybean,231,19,2,7/5/2016,3,24.55555556,21,S/S/K,6,2,9.31,2.27,0.243823845,K/SB,,Y
St2_36,Soybean,231,19,2,7/5/2016,4,24.66666667,14.2,S/S/K,7,3,14.38,3.6,0.250347705,K/SB,"few nodules, almost R3",Y
St2_37,Soybean,235,9,2,7/5/2016,1,24.05555556,13.4,S/S/K,7,3,19.09,4.5,0.235725511,K,,Y
St2_38,Soybean,235,9,2,7/5/2016,2,24.94444444,12.3,S/S/K,7,3,15.89,3.87,0.243549402,K,,Y
St2_39,Soybean,235,9,2,7/5/2016,3,24.94444444,19.6,S/S/K,10,3,26.31,6.23,0.236792094,K,,Y
St2_40,Soybean,235,9,2,7/5/2016,4,25.16666667,12.7,S/S/K,8,3,26.22,6.15,0.234553776,K,,Y
St2_41,Soybean,301,27,3,7/5/2016,1,25.66666667,20.7,S/S/K,9,3,21.83,5.57,0.255153459,SB,late R2,Y
St2_42,Soybean,301,27,3,7/5/2016,2,24.72222222,21.3,S/S/K,7,3,25.44,6.19,0.24331761,SB,,Y
St2_43,Soybean,301,27,3,7/5/2016,3,25.94444444,19.6,S/S/K,7,3,17,4.27,0.251176471,SB,,Y
St2_44,Soybean,301,27,3,7/5/2016,4,25.5,22.1,S/S/K,8,3,16.35,3.98,0.243425076,SB,,Y
St2_45,Soybean,321,19,3,7/5/2016,1,27.94444444,15.6,S/S/K,7,2,7.79,2.17,0.278562259,SB,"almost R3, poor nodulation, small soil volume",Y
St2_46,Soybean,321,19,3,7/5/2016,2,26.61111111,14.2,S/S/K,8,3,17.07,4.24,0.248388987,SB,,Y
St2_47,Soybean,321,19,3,7/5/2016,3,25.38888889,13.8,S/S/K,5,2,7.13,1.91,0.267882188,SB,small soil volume,Y
