"CROP","SAMPLING","CONTRAST","coefficients","sigma","tstat","pvalues","SIGNIF"
"corn","yield","ROTATION_LENGTH",1441.24707535625,293.705716622768,4.90711277917472,6.2157582453537e-05,"***"
"corn","yield","FOLLOW_SOY",70.3470665875005,324.061544299242,0.21707934133197,0.992821619953757,""
"corn","yield","FOLLOW_SUNFLOWER",-746.617896975,316.251684721444,-2.36083452846306,0.062778515938926,"."
"soy","yield","ROTATION_LENGTH",827.314424675,157.985937759418,5.23663331311703,1.90989343841208e-05,"***"
"soy","yield","FOLLOW_CORN",-779.473031725,174.314506222696,-4.47164753304686,0.00025029963253842,"***"
"soy","yield","WITH_PEA",-112.37198685,174.314506222696,-0.644650805518382,0.875918844579051,""
"corn","seedling","ROTATION_LENGTH",0.05768541680625,0.0203438055810785,2.83552733417304,0.020493538584388,"*"
"corn","seedling","FOLLOW_SOY",-0.0515041666374999,0.0224464308333343,-2.29453702550399,0.0726232350006266,"."
"corn","seedling","FOLLOW_SUNFLOWER",0.034308333425,0.0219054734876851,1.56619912572479,0.294797349790292,""
"corn","flowering","ROTATION_LENGTH",18.4753125,5.70937859745078,3.23595855217049,0.00739333370404549,"**"
"corn","flowering","FOLLOW_SOY",-0.677500000000028,6.29946896013367,-0.107548748043304,0.999100019598785,""
"corn","flowering","FOLLOW_SUNFLOWER",-7.26708333333331,6.14765221773146,-1.18209083337101,0.515462512307222,""
"soy","seedling","ROTATION_LENGTH",0.0231086309804041,0.0242375475669855,0.953422821204935,0.71492981450326,""
"soy","seedling","FOLLOW_CORN",-0.0776755953358083,0.0219840707320464,-3.5332671679672,0.00358237548850371,"**"
"soy","seedling","WITH_PEA",0.0679494045391918,0.0219840707320464,3.09084724878278,0.0118380768445807,"*"
"soy","flowering","ROTATION_LENGTH",3.01787181290034,0.816657579000705,3.6953943617264,0.00225559051146373,"**"
"soy","flowering","FOLLOW_CORN",-4.48386746242608,0.721268921373217,-6.21663755300767,1.32851731227124e-06,"***"
"soy","flowering","WITH_PEA",0.558965499083867,0.721268921373217,0.774975161857325,0.821834176235554,""
