"Barcode","Crop","Sampling","Constraint","Rsq","F_obs","p_val","Df"
"16S","corn","flowering","rotation",0.126,1.267,0.004,"5,32"
"16S","corn","flowering","rotation length",0.034,1.328,0.052,"2,35"
"16S","corn","seedling","rotation",0.109,1.144,0.064,"5,34"
"16S","corn","seedling","rotation length",0.032,1.327,0.043,"2,37"
"16S","corn","seedling","follow soy",0.022,0.927,0.758,"2,37"
"16S","soy","flowering","rotation",0.1,1.118,0.234,"5,34"
"16S","soy","flowering","rotation length",0.023,1.01,0.529,"2,37"
"16S","soy","flowering","follow corn",0.02,0.871,0.794,"2,37"
"16S","soy","seedling","rotation",0.109,1.137,0.155,"5,33"
"16S","soy","seedling","follow corn",0.027,1.109,0.343,"2,36"
"ITS","corn","flowering","rotation",0.139,1.602,0.002,"5,34"
"ITS","corn","flowering","rotation length",0.038,1.674,0.033,"2,37"
"ITS","corn","seedling","rotation",0.158,2.077,0,"5,34"
"ITS","corn","seedling","rotation length",0.066,3.307,0,"2,37"
"ITS","corn","seedling","follow soy",0.038,1.83,0.029,"2,37"
"ITS","soy","flowering","rotation",0.155,1.623,0.012,"5,33"
"ITS","soy","flowering","rotation length",0.031,1.219,0.219,"2,36"
"ITS","soy","flowering","follow corn",0.07,2.887,0.004,"2,36"
"ITS","soy","seedling","rotation",0.203,2.315,0,"5,33"
"ITS","soy","seedling","follow corn",0.074,3.141,0,"2,36"
